M,K,N,solution_index,status,bad_reps,total_reps
37,91,613,537657403,broken,30,30
37,91,613,537657404,broken,30,30
37,91,613,537657405,broken,30,30
37,91,613,537657407,broken,29,30
37,91,613,537657408,broken,9,30
37,91,613,537657409,broken,12,30
37,91,613,537657410,broken,30,30
37,91,613,537657411,broken,30,30
37,91,613,537657413,broken,30,30
37,91,613,537657415,broken,1,30
37,91,613,537657416,broken,29,30
37,91,613,537657417,broken,30,30
37,91,613,537657418,broken,30,30
37,91,613,537657419,broken,30,30
37,91,613,537657421,broken,30,30
37,91,613,537657422,broken,1,30
37,91,613,537657423,broken,30,30
37,91,613,537657424,broken,1,30
37,91,613,537657426,broken,1,30
37,91,613,537657427,clean,0,30
37,91,613,537657428,broken,30,30
37,91,613,537657429,broken,29,30
37,91,613,537657430,broken,30,30
37,91,613,537657431,broken,1,30
37,91,613,537657433,clean,0,30
37,91,613,537657435,broken,1,30
37,91,613,537657438,broken,30,30
37,91,613,537657439,broken,5,30
37,91,613,537657441,clean,0,30
37,91,613,537657443,clean,0,30
37,91,613,537657444,clean,0,30
37,91,613,537657446,clean,0,30
37,91,613,537657448,clean,0,30
37,91,613,537657449,clean,0,30
37,91,613,537657450,broken,30,30
37,91,613,537657451,broken,20,30
37,91,613,537657452,broken,30,30
37,91,613,55,broken,1,30
37,91,613,56,clean,0,30
37,91,613,537657387,broken,7,30
37,91,613,537657388,broken,30,30
37,91,613,537657389,broken,5,30
37,91,613,537657390,broken,4,30
40,72,800,537657391,broken,10,30
40,72,800,537657392,broken,30,30
40,72,800,537657393,broken,4,30
40,72,800,537657394,broken,1,30
40,72,800,537657395,broken,30,30
40,72,800,537657396,broken,2,30
40,72,800,537657397,broken,6,30
40,72,800,537657398,broken,30,30
40,72,800,537657399,broken,30,30
40,72,800,537657400,broken,30,30
40,72,800,537657401,broken,30,30
40,72,800,537657402,broken,1,30
40,72,800,537657403,broken,30,30
40,72,800,537657404,broken,30,30
40,72,800,537657405,broken,30,30
40,72,800,537657407,broken,1,30
40,72,800,537657408,clean,0,30
40,72,800,537657409,clean,0,30
40,72,800,537657410,broken,30,30
40,72,800,537657411,broken,30,30
40,72,800,537657413,broken,1,30
40,72,800,537657415,broken,1,30
40,72,800,537657416,broken,30,30
40,72,800,537657417,broken,30,30
40,72,800,537657418,broken,1,30
40,72,800,537657419,clean,0,30
40,72,800,537657421,broken,30,30
40,72,800,537657422,broken,1,30
40,72,800,537657423,broken,30,30
40,72,800,537657424,broken,29,30
40,72,800,537657426,broken,1,30
40,72,800,537657427,broken,28,30
40,72,800,537657428,broken,30,30
40,72,800,537657429,broken,1,30
40,72,800,537657430,broken,30,30
40,72,800,537657431,broken,1,30
40,72,800,537657433,clean,0,30
40,72,800,537657435,broken,3,30
40,72,800,537657438,broken,30,30
40,72,800,537657439,broken,2,30
40,72,800,537657441,clean,0,30
40,72,800,537657443,clean,0,30
40,72,800,537657444,clean,0,30
40,72,800,537657446,clean,0,30
40,72,800,537657448,clean,0,30
40,72,800,537657449,clean,0,30
40,72,800,537657450,broken,3,30
40,72,800,537657451,clean,0,30
40,72,800,537657452,broken,10,30
40,72,800,55,broken,3,30
40,72,800,56,clean,0,30
40,72,800,537657387,broken,3,30
40,72,800,537657388,broken,30,30
40,72,800,537657389,broken,4,30
40,72,800,537657390,broken,7,30
64,64,512,537657391,broken,1,30
64,64,512,537657392,broken,30,30
64,64,512,537657393,broken,30,30
64,64,512,537657394,broken,30,30
64,64,512,537657395,broken,30,30
64,64,512,537657396,broken,2,30
64,64,512,537657397,broken,16,30
64,64,512,537657398,broken,30,30
64,64,512,537657399,broken,30,30
64,64,512,537657400,broken,30,30
64,64,512,537657401,broken,25,30
64,64,512,537657402,broken,24,30
